prod_id,stock_de_seguridad
830,1465.0
831,1032.0
832,497.0
833,1085.0
834,1367.0
837,1081.0
838,279.0
841,1220.0
842,930.0
843,1056.0
844,454.0
845,1116.0
849,1690.0
850,378.0
851,1299.0
852,1263.0
854,2423.0
855,1907.0
857,1039.0
858,973.0
859,657.0
860,1156.0
861,507.0
862,517.0
863,1146.0
864,1356.0
865,561.0
866,156.0
867,816.0
869,566.0
870,365.0
872,1858.0
873,1017.0
876,2113.0
877,1448.0
879,1161.0
881,565.0
882,1829.0
884,2375.0
885,1814.0
886,839.0
887,1860.0
889,251.0
890,1733.0
891,634.0
893,654.0
897,367.0
898,1224.0
899,1813.0
900,458.0
902,666.0
904,302.0
905,560.0
906,211.0
908,1111.0
909,494.0
910,1147.0
912,392.0
913,1052.0
915,1105.0
916,1110.0
917,60.0
919,585.0
920,1149.0
921,387.0
923,1450.0
924,827.0
925,279.0
927,454.0
928,2808.0
929,1027.0
930,2108.0
934,1182.0
935,793.0
938,556.0
939,1899.0
940,405.0
941,1742.0
943,2268.0
945,1044.0
947,1034.0
948,1843.0
949,836.0
950,971.0
951,708.0
953,416.0
954,255.0
955,887.0
956,1653.0
957,4656.0
958,1027.0
960,2619.0
962,235.0
963,1611.0
964,713.0
965,367.0
966,646.0
967,892.0
968,1964.0
969,247.0
970,1298.0
971,1173.0
973,710.0
974,373.0
975,2966.0
976,682.0
979,2699.0
980,569.0
981,2110.0
983,835.0
985,1477.0
986,255.0
987,1326.0
993,547.0
996,2021.0
997,1046.0
998,112.0
