prod_id,stock_de_seguridad
0,1089.0
1,970.0
3,1220.0
4,1108.0
6,119.0
7,1086.0
8,2051.0
9,560.0
11,642.0
12,1529.0
13,1952.0
16,1144.0
17,516.0
18,684.0
19,885.0
23,390.0
24,521.0
25,810.0
26,135.0
27,2180.0
28,896.0
29,157.0
30,1488.0
31,2856.0
34,962.0
36,976.0
37,2155.0
39,1769.0
40,93.0
41,1470.0
42,0.0
43,784.0
45,559.0
46,419.0
47,2397.0
48,2576.0
50,723.0
51,1535.0
52,1700.0
53,451.0
56,224.0
58,1250.0
59,312.0
60,627.0
61,908.0
64,1236.0
65,829.0
66,297.0
67,1223.0
68,553.0
74,994.0
75,1460.0
77,434.0
78,2513.0
80,559.0
81,524.0
84,552.0
85,411.0
87,745.0
88,2264.0
89,1381.0
93,1144.0
94,932.0
96,1575.0
101,219.0
103,235.0
105,770.0
106,1055.0
108,2699.0
109,1558.0
112,1602.0
113,1367.0
116,1213.0
117,580.0
118,1284.0
119,1060.0
121,769.0
123,1421.0
124,760.0
125,592.0
129,554.0
130,1582.0
131,2003.0
132,543.0
134,1248.0
136,254.0
138,916.0
140,521.0
141,1325.0
142,1849.0
143,1121.0
144,1181.0
145,1333.0
146,646.0
148,1247.0
149,685.0
150,116.0
152,1017.0
156,931.0
158,1286.0
159,261.0
162,1443.0
163,672.0
164,1323.0
165,895.0
167,1577.0
169,2584.0
172,2521.0
173,1659.0
174,1440.0
175,589.0
176,221.0
177,304.0
179,610.0
180,1177.0
182,1298.0
183,365.0
184,688.0
185,687.0
192,676.0
193,2290.0
194,658.0
196,613.0
197,2327.0
198,1411.0
199,1009.0
200,1006.0
201,684.0
203,2522.0
204,615.0
206,364.0
207,1810.0
210,1203.0
212,2425.0
214,971.0
215,1459.0
216,1049.0
218,2096.0
220,1986.0
221,910.0
222,1902.0
223,2080.0
226,172.0
227,1291.0
234,1525.0
235,1415.0
236,1513.0
238,822.0
239,1034.0
240,529.0
243,671.0
244,437.0
246,379.0
247,731.0
249,1358.0
250,494.0
251,1253.0
252,1223.0
253,1356.0
254,443.0
255,771.0
256,166.0
259,137.0
260,1951.0
261,1164.0
264,643.0
266,2045.0
268,264.0
